Company,Valuation,DateJoined,Country,Industry,SelectedInvestors
Kuaishou,$3 ,1/1/2015,China,Social,"Morningside Venture Capital, Sequoia Capital, Baidu"
VANCL,$3 ,12/14/2010,China,eCommerce/Marketplace,"Ceyuan Ventures, QiMing
	  Venture Partners, Temasek Holdings"
ContextLogic (dba. Wish),$3 ,5/18/2015,USA,eCommerce/Marketplace,"Founders Fund, GGV Capital, Digital Sky Technologies"
BGL Group,$3 ,11/24/2017,UK,Fintech,CPP Investment Board
Circle Internet Financial,$3 ,5/15/2018,USA,Fintech,"General Catalyst, Digital Currency Group, Accel"
Xiaohongshu,$3 ,3/31/2016,China,eCommerce/Marketplace,"GGV Capital, ZhenFund, Tencent"
Unity Technologies,$3 ,7/13/2016,USA,Gaming,"Sequoia Capital, iGlobe Partners, DFJ Growth"
CrowdStrike,$3 ,5/17/2017,USA,Cybersecurity,"Warbug Pincus, capitalG, Accel Partners"
Vipkid,$3 ,8/23/2017,China,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
SouChe Holdings,$3 ,11/1/2017,China,AutoTech,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
Niantic,$4 ,11/24/2017,USA,AR/VR,"Nintendo, Google, Pokemon Company International, Spark Capital"
Yuanfudao,$3 ,5/31/2017,China,Edtech,"Tencent Holdings, Warbug Pincus, IDG Capital"
Horizon Robotics,$3 ,2/27/2017,China,AI/Robotics,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
Shanghai Henlius,$2.90 ,7/19/2018,China,Real Estate,"Green Tomato, Fuguo Asset Management, Jacobson Pharma"
Affirm,$2.90 ,12/11/2017,USA,Fintech,"Andreessen Horowitz, Khosla Ventures, Singapore Wealth Fund"
ESR Cayman (e-Shang Redwood),$2.80 ,7/26/2017,China,Drug Development,"SK Group, GF Investments, China Minsheng Banking Corp."
Meicai,$2.80 ,1/11/2018,China,Food & Grocery,"Tiger Global Management, Blue Lake Capital, ZhenFund"
N26,$2.70 ,1/10/2019,Germany,Fintech,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Toast,$2.70 ,7/10/2018,USA,Restaurant Tech,"Bessemer Venture Partners, Tiger Global Management, Google Ventures"
Databricks,$2.70 ,2/5/2019,USA,Internet Software & Services,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Plaid Technologies,$2.65 ,12/11/2018,USA,Fintech,"New Enterprise Associates, Spark Capital,"
Automation Anywhere,$2.60 ,7/2/2018,USA,Robotics,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Woowa Brothers,$2.60 ,12/20/2018,South Korea,On Demand,"Hillhouse Capital Management, Altos Ventures, Sequoia Capital"
Klarna,$3.50 ,12/12/2011,Sweden,Fintech,"Institutional Venture
	  Partners, Sequoia Capital, General Atlantic"
VistaJet,$2.50 ,8/23/2017,Malta,On-demand,Rhone Capital
Zhihu,$2.50 ,1/12/2017,China,Internet Software & Services,"Tencent Holdings, Sinovation Ventures, Qiming Venture Partners"
Confluent,$2.50 ,1/23/2019,USA,Internet Software & Services,"Benchmark, Sequoia Capital, Index Ventures"
GRAIL,$2.46 ,3/1/2017,USA,Genomics,"Kleiner Perkins Caufield & Byers, Amazon, Merck & Co."
Lime,$2.40 ,7/9/2018,USA,Travel,"Andreessen Horowitz, Coatue Management, Uber"
YITU Technology,$2.37 ,3/8/2018,China,Computer Vision,"Sequoia Capital China, Banyan Capital"
Dadi Cinema,$2.30 ,5/11/2016,China,Entertainment,Alibaba Pictures Group
Uptake,$2.30 ,10/27/2015,USA,Big Data,"Revolution, New Enterprise Associates, Caterpillar"
ACORN OakNorth,$2.30 ,10/12/2017,UK,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management"
Zume Pizza,$2.25 ,11/1/2018,USA,On Demand,"Softbank Group, AME Cloud Ventures, SignalFire"
NuCom Group,$2.20 ,2/22/2018,Germany,Management & Strategy Consulting,General Atlantic
MINISO Life,$2.20 ,9/30/2018,China,Retail,"Hillhouse Capital Management, and Tencent Holdings"
"Zomato
	  Media",$2.18 ,4/10/2015,India,Social,"Sequoia Capital, VY Capital"
benevolent.ai,$2.10 ,6/2/2015,UK,Healthcare,Woodford Investment Management
ReNew Power Ventures,$2 ,2/14/2017,India,Energy & Utilities,"Goldman Sachs, JERA, Asian Development Bank"
Traveloka,$2 ,7/28/2017,Indonesia,TravelTech,"Global Founders Capital, East Ventures, Expedia Inc."
Huimin,$2 ,9/5/2016,China,On-Demand,"Zheshang Venture Capital, GP Capital, Western Capital Management"
Avant,$2 ,9/30/2015,USA,Fintech,"RRE Ventures, Tiger Global, August Capital"
"Trendy
	  Group International",$2 ,2/13/2012,China,Clothing & Accessories,L Capital Partners
Cambricon,$2 ,8/18/2017,China,Chips & Semiconductors,"Alibaba Entrepreneurs Fund, CAS Investment Management Co., Lenovo Ventures Group"
Preferred Networks,$2 ,5/17/2018,Japan,Internet Software & Services,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
Improbable,$2 ,5/12/2017,UK,AR/VR,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
LegalZoom,$2 ,7/31/2018,USA,RegTech,"K1 Capital, Francisco Partners, Neuberger Berman"
Tempus Labs,$2 ,3/21/2018,USA,Robotic Process Automation,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Bird Rides,$2 ,5/29/2018,USA,Travel,"Tusk Ventures, Craft Ventures, Sequoia Capital"
Lemonade,$2 ,4/11/2019,USA,Fintech,"Google Ventures, Thrive Capital, SoftBank Group"
OpenDoor Labs,$3.80 ,11/30/2016,USA,Real Estate,"Norwest Venture Partners, New Enterprise Associates, Khosla Ventures"
Discord,$2 ,4/20/2018,USA,eSports,"Benchmark, Greylock Partners, Tencent Holdings"
Aurora,$2 ,2/7/2019,USA,AutoTech,"Index Ventures, Greylock Partners, Lightspeed Venture Partners"
Eggshell Apartment,$2 ,3/1/2019,China,Real Estate Tech,"JOY Capital, Gaorong Capital, Tiger Global Management"
HashiCorp,$1.90 ,11/1/2018,USA,DevOps,"Redpoint Ventures, True Ventures, Mayfield Fund"
InVision,$1.90 ,12/11/2018,USA,Internet Software & Services,"FirstMark Capital, Tiger Global Management, ICONIQ Capital"
Quora,$1.80 ,4/21/2017,USA,Internet Software & Services,"Y Combinator, Matrix Partners, Benchmark"
Zocdoc,$1.80 ,8/20/2015,USA,Healthcare,"Founders Fund, Khosla Ventures, Goldman Sachs"
Sprinklr,$1.80 ,3/31/2015,USA,Internet Software & Services,"Azure Capital Partners,
	  Battery Ventures, Intel Capital"
reddit,$1.80 ,7/31/2017,USA,Social,"Y Combinator, Sequoia Capital, Coatue Management"
Devoted Health,$1.80 ,10/16/2018,USA,Healthcare,"Andreessen Horowitz, F-Prime Capital, Venrock"
Afiniti,$1.80 ,4/14/2017,USA,Internet Software & Services,GAM Holding
L&P Cosmetic,$1.78 ,4/28/2017,South Korea,Beauty & grooming,CDIB Capital
Squarespace,$1.70 ,12/14/2017,USA,Internet Software & Services,"General Atlantic, Index Ventures, Accel Partners"
Buzzfeed,$1.70 ,8/18/2015,USA,Media,"SV Angel, RRE Ventures, New Enterprise Associates"
Revolut,$1.70 ,4/26/2018,UK,Fintech,"index Ventures, DST Global, Ribbit Capital"
Carbon3D,$1.70 ,12/20/2017,USA,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group"
UCommune,$3 ,1/18/2017,China,Real Estate,"Ant Financial Services Group, Dahong Group, Sequoia Capital China"
Insidesales.com,$1.70 ,4/28/2014,USA,Big Data,"Microsoft Ventures, US
	  Venture Partners, Kleiner Perkins Caufield & Byers"
Graphcore,$1.70 ,12/18/2018,UK,Application & Data Integration Software,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
23andMe,$1.70 ,7/3/2015,USA,Healthcare,"Google Ventures, New Enterprise Associates, MPM Capital"
Pony.ai,$1.70 ,7/11/2018,USA,AutoTech,"Sequoia Capital China, IDG Capital, DCM Ventures"
Pax Labs,$1.70 ,10/22/2018,USA,Consumer Electronics,"Tao Capital Partners, Global Asset Capital, Tiger Global Management"
CureVac,$1.65 ,3/5/2015,Germany,Biotechnology,"dievini Hopp BioTech Holding & Co., Eli Lilly & Co., LBBW Venture Capital"
Darktrace,$1.65 ,5/15/2018,UK,Cybersecurity,"KKR, Ten Eleven Ventures, Summit Partners"
Jusfoun Big Data,$1.65 ,12/19/2018,China,Big Data,"Boxin Capital, DT Capital Partners, IDG Capital"
ServiceTitan,$1.65 ,11/14/2018,USA,Internet Software & Services,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Infinidat,$1.60 ,4/29/2015,Israel,Hardware,"TPG Growth, Goldman Sachs"
BlaBlaCar,$1.60 ,9/16/2015,France,On-Demand,"Accel Partners, Index Ventures, Insight Venture Partners"
CAOCAO,$1.60 ,1/17/2018,China,On Demand,"People Electrical Appliance Group China, Zhongrong International Trust"
Gan & Lee Pharmaceuticals,$1.60 ,11/1/2014,China,Biotechnology,"Qiming Venture Partners, Goldman Sachs, Hillhouse Capital Management"
TransferWise,$1.60 ,1/26/2015,UK,Fintech,"IA Ventures, Index
	  Ventures, SV Angel"
Looker,$1.60 ,12/6/2018,USA,"Business Intelligence, Analytics & Performance Mgmt","Redpoint Ventures, First Round Capital, capitalG"
Dataminr,$1.60 ,6/4/2018,USA,BI & Analytics,"Venrock, Institutional Venture Partners, Goldman Sachs"
